Date,Depth,Temp
2011-10-01,0,59
2011-10-02,0,56
2011-10-03,0,54
2011-10-04,0,51
2011-10-05,0,38
2011-10-06,1,42
2011-10-07,0,35
2011-10-08,11,33
2011-10-09,9,36
2011-10-10,8,41
2011-10-11,7,46
2011-10-12,5,54
2011-10-13,4,54
2011-10-14,3,57
2011-10-15,2,61
2011-10-16,2,58
2011-10-17,1,48
2011-10-18,1,48
2011-10-19,0,51
2011-10-20,0,49
2011-10-21,0,48
2011-10-22,0,52
2011-10-23,0,59
2011-10-24,0,55
2011-10-25,0,51
2011-10-26,0,37
2011-10-27,2,33
2011-10-28,3,40
2011-10-29,3,41
2011-10-30,2,48
2011-10-31,2,49
2011-11-01,2,49
2011-11-02,2,39
2011-11-03,2,50
2011-11-04,2,48
2011-11-05,2,32
2011-11-06,4,33
2011-11-07,4,35
2011-11-08,10,29
2011-11-09,10,32
2011-11-10,8,38
2011-11-11,7,45
2011-11-12,7,40
2011-11-13,7,32
2011-11-14,9,31
2011-11-15,9,30
2011-11-16,9,30
2011-11-17,9,38
2011-11-18,8,39
2011-11-19,8,38
2011-11-20,8,40
2011-11-21,8,38
2011-11-22,8,41
2011-11-23,8,51
2011-11-24,8,45
2011-11-25,8,34
2011-11-26,11,30
2011-11-27,10,40
2011-11-28,9,51
2011-11-29,9,41
2011-11-30,9,43
2011-12-01,9,33
2011-12-02,9,31
2011-12-03,11,24
2011-12-04,14,18
2011-12-05,14,10
2011-12-06,15,27
2011-12-07,14,40
2011-12-08,12,33
2011-12-09,12,37
2011-12-10,12,40
2011-12-11,12,33
2011-12-12,11,31
2011-12-13,17,31
2011-12-14,21,22
2011-12-15,30,23
2011-12-16,27,35
2011-12-17,25,46
2011-12-18,24,44
2011-12-19,24,31
2011-12-20,27,23
2011-12-21,26,31
2011-12-22,25,18
2011-12-23,29,20
2011-12-24,28,28
2011-12-25,26,30
2011-12-26,25,36
2011-12-27,24,43
2011-12-28,24,41
2011-12-29,22,38
2011-12-30,22,40
2011-12-31,22,38
2012-01-01,21,40
2012-01-02,21,44
2012-01-03,20,40
2012-01-04,20,42
2012-01-05,19,49
2012-01-06,19,45
2012-01-07,19,39
2012-01-08,19,29
2012-01-09,21,33
2012-01-10,20,40
2012-01-11,20,28
2012-01-12,20,30
2012-01-13,19,29
2012-01-14,19,40
2012-01-15,19,34
2012-01-16,21,27
2012-01-17,27,21
2012-01-18,26,26
2012-01-19,28,40
2012-01-20,27,35
2012-01-21,27,37
2012-01-22,27,23
2012-01-23,29,33
2012-01-24,28,34
2012-01-25,28,37
2012-01-26,27,40
2012-01-27,27,30
2012-01-28,26,30
2012-01-29,26,45
2012-01-30,25,39
2012-01-31,25,38
2012-02-01,25,40
2012-02-02,25,27
2012-02-03,25,27
2012-02-04,34,25
2012-02-05,35,26
2012-02-06,32,22
2012-02-07,29,27
2012-02-08,31,39
2012-02-09,30,28
2012-02-10,30,29
2012-02-11,30,38
2012-02-12,29,29
2012-02-13,30,24
2012-02-14,33,28
2012-02-15,34,28
2012-02-16,39,30
2012-02-17,37,35
2012-02-18,36,31
2012-02-19,35,35
2012-02-20,35,16
2012-02-21,37,29
2012-02-22,34,40
2012-02-23,35,39
2012-02-24,35,35
2012-02-25,34,41
2012-02-26,34,38
2012-02-27,32,42
2012-02-28,32,26
2012-02-29,34,35
2012-03-01,33,33
2012-03-02,33,17
2012-03-03,41,27
2012-03-04,38,43
2012-03-05,37,47
2012-03-06,36,46
2012-03-07,35,43
2012-03-08,35,28
2012-03-09,38,31
2012-03-10,44,32
2012-03-11,43,35
2012-03-12,43,44
2012-03-13,42,48
2012-03-14,40,50
2012-03-15,39,51
2012-03-16,37,51
2012-03-17,36,50
2012-03-18,36,40
2012-03-19,40,20
2012-03-20,41,24
2012-03-21,42,38
2012-03-22,40,48
2012-03-23,38,54
2012-03-24,37,56
2012-03-25,35,58
2012-03-26,33,52
2012-03-27,33,52
2012-03-28,33,52
2012-03-29,32,50
2012-03-30,32,52
2012-03-31,31,55
2012-04-01,30,53
2012-04-02,29,38
2012-04-03,34,34
2012-04-04,36,37
2012-04-05,36,50
2012-04-06,33,50
2012-04-07,29,51
2012-04-08,25,53
2012-04-09,22,53
2012-04-10,20,56
2012-04-11,19,51
2012-04-12,18,43
2012-04-13,15,46
2012-04-14,14,42
2012-04-15,13,30
2012-04-16,12,38
2012-04-17,10,49
2012-04-18,9,53
2012-04-19,8,47
2012-04-20,6,51
2012-04-21,5,59
2012-04-22,4,58
2012-04-23,4,59
2012-04-24,3,60
2012-04-25,2,58
2012-04-26,2,56
2012-04-27,2,48
2012-04-28,2,46
2012-04-29,2,51
2012-04-30,2,54
2012-05-01,2,55
2012-05-02,2,58
2012-05-03,1,57
2012-05-04,1,60
2012-05-05,1,59
2012-05-06,1,57
2012-05-07,1,43
2012-05-08,0,50
2012-05-09,0,52
2012-05-10,0,52
2012-05-11,0,54
2012-05-12,0,51
2012-05-13,0,46
2012-05-14,0,47
2012-05-15,0,59
2012-05-16,0,60
2012-05-17,0,60
2012-05-18,0,59
2012-05-19,0,57
2012-05-20,0,60
2012-05-21,0,65
2012-05-22,0,65
2012-05-23,0,64
2012-05-24,0,58
2012-05-25,0,67
2012-05-26,0,66
2012-05-27,0,51
2012-05-28,0,58
2012-05-29,0,63
2012-05-30,0,64
2012-05-31,0,65
